,SKU,Brand,NotRepeat
0,CRMR250,CR,CR
1,CRSCRUB250,CR,CR
2,EL4600,EL,EL
3,CRRAS250,CR,LA
4,LAS-001,LA,MG
5,MGFM10210,MG,LE
6,LABC-004,LA,GA
7,LE463058,LE,DI
8,MGFM11210,MG,OM
9,LE463034,LE,RA
10,CRSP250,CR,NY
11,GAGRA0006,GA,EE
12,ELFGS100243,EL,UK
13,LAB-012,LA,BT
14,LE463003,LE,BA
15,LAL-005,LA,NE
16,GAGRA0369,GA,BW
17,LAS-002,LA,JA
18,LAC-006,LA,CU
19,DIROSE100V1,DI,BY
20,OM17001,OM,LL
21,MGSD20973,MG,AB
22,OM10801,OM,SA
23,DIROSFOAM,DI,EH
24,LASMS-014,LA,RE
25,RAAB0013A,RA,1B
26,NY0314,NY,AP
27,LAB-00,LA,NB
28,LE463041,LE,MH
29,EL4599,EL,SF
30,LAS-010,LA,IE
31,NY2346,NY,ER
32,LAL-013,LA,SJ
33,CRSV400,CR,RO
34,LAC-014,LA,LR
35,GAGRA0020,GA,IL
36,GAGRA0087,GA,10
37,DIHBSGEL1,DI,BL
38,DICAPS34,DI,CO
39,GAGRA0050,GA,KE
40,DICAPSRO,DI,LB
41,LAS-003,LA,FO
42,RAAB0001A,RA,OD
43,OM13701,OM,TG
44,CRSV250,CR,Ab
45,CRSP400,CR,
46,EE50763,EE,
47,DICAPSB,DI,
48,NY0115,NY,
49,DIB1,DI,
50,ELFGS100228,EL,
51,CRSR250,CR,
52,LAS-020,LA,
53,NY0305,NY,
54,GAGRA0071,GA,
55,CRCDJ100,CR,
56,UK02000029,UK,
57,LAS-021,LA,
58,BT1142200100,BT,
59,NY2177,NY,
60,UK02000022,UK,
61,EL4910,EL,
62,OM16901,OM,
63,NY2362,NY,
64,BTV18300008,BT,
65,LAS-019,LA,
66,BA5055479087187,BA,
67,NE1103067,NE,
68,NY2182,NY,
69,DISENS100V1,DI,
70,EL9995,EL,
71,UK02000024,UK,
72,NY0701,NY,
73,BA5055291784783,BA,
74,UK03000020,UK,
75,DIROSHMIST,DI,
76,BWMS2TPL50C,BW,
77,DIOMBRE100V1,DI,
78,DIFLEURP75C,DI,
79,CRGDP250,CR,
80,JASP94N,JA,
81,ELFGS100451,EL,
82,EL7880,EL,
83,BWDISH-LTM-500,BW,
84,NY0716,NY,
85,DIB70V,DI,
86,DIP34B,DI,
87,CU2819,CU,
88,NE1102042,NE,
89,DIRO1,DI,
90,LASMS-021,LA,
91,NY2171,NY,
92,CRDV250,CR,
93,CRSH250,CR,
94,GAGRA0075,GA,
95,BA5055479042674,BA,
